years,gender,age,persons_recorded,extrapolated_people,net_income_median,risk_of_poverty_percentage
2008,Male,16 bis unter 18 Jahre,348,968,17723,"19,0"
2008,Male,18 bis unter 25 Jahre,960,3510,18731,"18,0"
2008,Male,25 bis unter 50 Jahre,4321,13873,20103,"12,8"
2008,Male,50 bis unter 65 Jahre,2996,7518,20565,"16,0"
2008,Male,65 Jahre und mehr,3072,7578,17147,"12,0"
2008,Male,Total,13940,39952,18777,"14,2"
2008,Female,16 bis unter 18 Jahre,305,755,16541,"18,0"
2008,Female,18 bis unter 25 Jahre,969,3446,16692,"22,4"
2008,Female,25 bis unter 50 Jahre,5074,15283,19370,"14,0"
2008,Female,50 bis unter 65 Jahre,3313,8001,19275,"17,6"
2008,Female,65 Jahre und mehr,3093,8245,16029,"17,4"
2008,Female,Total,14964,41405,17909,"16,2"
2008,Total,16 bis unter 18 Jahre,653,1723,17118,"18,6"
2008,Total,18 bis unter 25 Jahre,1929,6956,17678,"20,2"
2008,Total,25 bis unter 50 Jahre,9395,29156,19767,"13,4"
2008,Total,50 bis unter 65 Jahre,6309,15519,19845,"16,8"
2008,Total,65 Jahre und mehr,6165,15823,16498,"14,9"
2008,Total,Total,28904,81358,18309,"15,2"
2009,Male,16 bis unter 18 Jahre,322,950,17294,"17,8"
2009,Male,18 bis unter 25 Jahre,914,3407,18192,"17,9"
2009,Male,25 bis unter 50 Jahre,4329,13885,20571,"13,3"
2009,Male,50 bis unter 65 Jahre,2952,7447,20798,"16,6"
2009,Male,65 Jahre und mehr,2971,7660,17470,"12,9"
2009,Male,Total,13771,39852,18927,"14,7"
2009,Female,16 bis unter 18 Jahre,293,746,16567,"16,5"
2009,Female,18 bis unter 25 Jahre,930,3470,17239,"24,4"
2009,Female,25 bis unter 50 Jahre,4926,14954,19782,"14,8"
2009,Female,50 bis unter 65 Jahre,3343,8274,19278,"16,8"
2009,Female,65 Jahre und mehr,2966,8314,16223,"17,0"
2009,Female,Total,14597,41239,18219,"16,3"
2009,Total,16 bis unter 18 Jahre,615,1697,16977,"17,2"
2009,Total,18 bis unter 25 Jahre,1844,6877,17784,"21,2"
2009,Total,25 bis unter 50 Jahre,9255,28839,20186,"14,1"
2009,Total,50 bis unter 65 Jahre,6295,15720,20087,"16,7"
2009,Total,65 Jahre und mehr,5937,15974,16804,"15,0"
2009,Total,Total,28368,81091,18586,"15,5"
2010,Male,16 bis unter 18 Jahre,289,785,17244,"16,2"
2010,Male,18 bis unter 25 Jahre,910,3445,18363,"16,0"
2010,Male,25 bis unter 50 Jahre,4219,13710,20790,"13,3"
2010,Male,50 bis unter 65 Jahre,2976,7585,21052,"17,2"
2010,Male,65 Jahre und mehr,2950,7724,17692,"12,1"
2010,Male,Total,13601,39741,19186,"14,9"
2010,Female,16 bis unter 18 Jahre,308,783,16900,"23,7"
2010,Female,18 bis unter 25 Jahre,891,3410,17714,"21,7"
2010,Female,25 bis unter 50 Jahre,4788,14674,20000,"14,8"
2010,Female,50 bis unter 65 Jahre,3453,8437,19739,"16,8"
2010,Female,65 Jahre und mehr,2903,8469,16756,"15,9"
2010,Female,Total,14377,41113,18448,"16,4"
2010,Total,16 bis unter 18 Jahre,597,1569,16980,"19,9"
2010,Total,18 bis unter 25 Jahre,1801,6855,18199,"18,9"
2010,Total,25 bis unter 50 Jahre,9007,28384,20389,"14,1"
2010,Total,50 bis unter 65 Jahre,6429,16021,20279,"17,0"
2010,Total,65 Jahre und mehr,5853,16193,17167,"14,1"
2010,Total,Total,27978,80853,18797,"15,6"
2011,Male,16 bis unter 18 Jahre,302,955,17332,"17,1"
2011,Male,18 bis unter 25 Jahre,823,3270,19176,"16,2"
2011,Male,25 bis unter 50 Jahre,4283,13564,21009,"14,3"
2011,Male,50 bis unter 65 Jahre,3196,7829,20793,"18,5"
2011,Male,65 Jahre und mehr,3114,7771,18136,"12,0"
2011,Male,Total,13907,39759,19389,"14,9"
2011,Female,16 bis unter 18 Jahre,278,799,17999,"15,8"
2011,Female,18 bis unter 25 Jahre,857,3310,18010,"21,8"
2011,Female,25 bis unter 50 Jahre,4797,14519,20124,"14,9"
2011,Female,50 bis unter 65 Jahre,3686,8663,19637,"18,6"
2011,Female,65 Jahre und mehr,3049,8380,17167,"16,2"
2011,Female,Total,14737,41086,18700,"16,8"
2011,Total,16 bis unter 18 Jahre,580,1754,17686,"16,5"
2011,Total,18 bis unter 25 Jahre,1680,6580,18565,"19,0"
2011,Total,25 bis unter 50 Jahre,9080,28083,20479,"14,6"
2011,Total,50 bis unter 65 Jahre,6882,16491,20227,"18,6"
2011,Total,65 Jahre und mehr,6163,16151,17611,"14,2"
2011,Total,Total,28644,80845,19043,"15,8"
2012,Male,16 bis unter 18 Jahre,287,845,18784,"15,9"
2012,Male,18 bis unter 25 Jahre,809,3469,19931,"18,1"
2012,Male,25 bis unter 50 Jahre,4032,13320,21678,"13,2"
2012,Male,50 bis unter 65 Jahre,3166,8095,21573,"18,1"
2012,Male,65 Jahre und mehr,3124,7766,18190,"13,3"
2012,Male,Total,13557,39879,20074,"14,9"
2012,Female,16 bis unter 18 Jahre,241,647,19522,"20,5"
2012,Female,18 bis unter 25 Jahre,797,3250,18050,"23,5"
2012,Female,25 bis unter 50 Jahre,4544,14367,20613,"15,6"
2012,Female,50 bis unter 65 Jahre,3724,9042,19794,"19,2"
2012,Female,65 Jahre und mehr,3022,8473,17345,"16,6"
2012,Female,Total,14381,41117,19137,"17,2"
2012,Total,16 bis unter 18 Jahre,528,1492,19054,"17,9"
2012,Total,18 bis unter 25 Jahre,1606,6719,19181,"20,7"
2012,Total,25 bis unter 50 Jahre,8576,27687,21145,"14,4"
2012,Total,50 bis unter 65 Jahre,6890,17137,20688,"18,7"
2012,Total,65 Jahre und mehr,6146,16239,17729,"15,0"
2012,Total,Total,27938,80996,19595,"16,1"
2013,Male,16 bis unter 18 Jahre,274,850,18681,"14,4"
2013,Male,18 bis unter 25 Jahre,740,3177,20014,"16,8"
2013,Male,25 bis unter 50 Jahre,3736,12975,21273,"14,5"
2013,Male,50 bis unter 65 Jahre,3026,7920,21579,"18,3"
2013,Male,65 Jahre und mehr,3128,7787,18565,"12,7"
2013,Male,Total,12934,39105,20081,"15,0"
2013,Female,16 bis unter 18 Jahre,265,779,18025,"19,3"
2013,Female,18 bis unter 25 Jahre,728,3014,17941,"20,4"
2013,Female,25 bis unter 50 Jahre,4222,14015,20441,"15,3"
2013,Female,50 bis unter 65 Jahre,3644,9064,19836,"20,4"
2013,Female,65 Jahre und mehr,3009,8312,17295,"17,0"
2013,Female,Total,13775,40573,19067,"17,2"
2013,Total,16 bis unter 18 Jahre,539,1629,18364,"16,7"
2013,Total,18 bis unter 25 Jahre,1468,6191,19418,"18,5"
2013,Total,25 bis unter 50 Jahre,7958,26990,20898,"14,9"
2013,Total,50 bis unter 65 Jahre,6670,16985,20611,"19,4"
2013,Total,65 Jahre und mehr,6137,16099,17904,"14,9"
2013,Total,Total,26709,79678,19582,"16,1"
2014,Male,16 bis unter 18 Jahre,287,927,17699,"14,2"
2014,Male,18 bis unter 25 Jahre,770,3100,19556,"17,4"
2014,Male,25 bis unter 50 Jahre,3461,12931,21691,"15,5"
2014,Male,50 bis unter 65 Jahre,3166,8271,22089,"19,3"
2014,Male,65 Jahre und mehr,3283,7845,18941,"14,0"
2014,Male,Total,12802,39307,20228,"15,9"
2014,Female,16 bis unter 18 Jahre,307,841,19516,"23,0"
2014,Female,18 bis unter 25 Jahre,729,2873,17666,"24,0"
2014,Female,25 bis unter 50 Jahre,3949,13883,20578,"15,5"
2014,Female,50 bis unter 65 Jahre,3689,9168,20889,"18,2"
2014,Female,65 Jahre und mehr,3229,8411,17386,"18,4"
2014,Female,Total,13697,40679,19319,"17,4"
2014,Total,16 bis unter 18 Jahre,594,1769,18650,"18,4"
2014,Total,18 bis unter 25 Jahre,1499,5973,18583,"20,6"
2014,Total,25 bis unter 50 Jahre,7410,26814,21167,"15,5"
2014,Total,50 bis unter 65 Jahre,6855,17439,21389,"18,7"
2014,Total,65 Jahre und mehr,6512,16256,18181,"16,3"
2014,Total,Total,26499,79986,19733,"16,7"
2015,Male,16 bis unter 18 Jahre,296,965,19763,"16,5"
2015,Male,18 bis unter 25 Jahre,781,3126,20456,"19,0"
2015,Male,25 bis unter 50 Jahre,3324,12822,22710,"13,9"
2015,Male,50 bis unter 65 Jahre,3245,8449,23234,"20,1"
2015,Male,65 Jahre und mehr,3286,7931,19274,"14,5"
2015,Male,Total,12715,39651,21194,"15,9"
2015,Female,16 bis unter 18 Jahre,289,801,20240,"11,6"
2015,Female,18 bis unter 25 Jahre,737,2790,19419,"23,4"
2015,Female,25 bis unter 50 Jahre,3801,13860,21777,"15,5"
2015,Female,50 bis unter 65 Jahre,3780,9414,21475,"19,7"
2015,Female,65 Jahre und mehr,3387,8679,17918,"18,3"
2015,Female,Total,13664,40906,20238,"17,4"
2015,Total,16 bis unter 18 Jahre,585,1766,19964,"14,3"
2015,Total,18 bis unter 25 Jahre,1518,5917,19829,"21,1"
2015,Total,25 bis unter 50 Jahre,7125,26682,22197,"14,7"
2015,Total,50 bis unter 65 Jahre,7025,17863,22404,"19,9"
2015,Total,65 Jahre und mehr,6673,16609,18609,"16,5"
2015,Total,Total,26379,80556,20668,"16,7"
2016,Male,16 bis unter 18 Jahre,256,848,19996,"14,9"
2016,Male,18 bis unter 25 Jahre,795,3291,19907,"18,6"
2016,Male,25 bis unter 50 Jahre,3309,12855,22804,"13,8"
2016,Male,50 bis unter 65 Jahre,3339,8799,23260,"17,1"
2016,Male,65 Jahre und mehr,3376,7698,18669,"14,9"
2016,Male,Total,12903,40278,21750,"15,2"
2016,Female,16 bis unter 18 Jahre,252,743,20078,"24,0"
2016,Female,18 bis unter 25 Jahre,732,2898,20581,"23,7"
2016,Female,25 bis unter 50 Jahre,3848,14055,23364,"15,0"
2016,Female,50 bis unter 65 Jahre,3869,9601,24291,"18,3"
2016,Female,65 Jahre und mehr,3573,8535,19359,"20,1"
2016,Female,Total,13900,41149,20744,"17,8"
2016,Total,16 bis unter 18 Jahre,508,1591,19996,"19,1"
2016,Total,18 bis unter 25 Jahre,1527,6188,19907,"21,0"
2016,Total,25 bis unter 50 Jahre,7157,26909,22804,"14,4"
2016,Total,50 bis unter 65 Jahre,7208,18400,23260,"17,7"
2016,Total,65 Jahre und mehr,6949,16233,18669,"17,7"
2016,Total,Total,26803,81427,21275,"16,5"
2017,Male,16 bis unter 18 Jahre,270,989,20373,"13,6"
2017,Male,18 bis unter 25 Jahre,747,3254,21721,"17,9"
2017,Male,25 bis unter 50 Jahre,3149,12705,23981,"13,7"
2017,Male,50 bis unter 65 Jahre,3433,9077,24856,"16,8"
2017,Male,65 Jahre und mehr,3467,7853,19949,"14,9"
2017,Male,Total,12736,40518,22472,"15,0"
2017,Female,16 bis unter 18 Jahre,237,713,20498,"18,0"
2017,Female,18 bis unter 25 Jahre,689,2848,18772,"25,3"
2017,Female,25 bis unter 50 Jahre,3679,13802,23016,"14,1"
2017,Female,50 bis unter 65 Jahre,3983,9726,23568,"17,6"
2017,Female,65 Jahre und mehr,3656,8550,18723,"19,0"
2017,Female,Total,13836,41216,21316,"17,1"
2017,Total,16 bis unter 18 Jahre,507,1702,20373,"15,4"
2017,Total,18 bis unter 25 Jahre,1436,6102,20109,"21,4"
2017,Total,25 bis unter 50 Jahre,6828,26507,23459,"13,9"
2017,Total,50 bis unter 65 Jahre,7416,18803,24107,"17,2"
2017,Total,65 Jahre und mehr,7123,16403,19267,"17,0"
2017,Total,Total,26572,81733,21920,"16,1"
2018,Male,16 bis unter 18 Jahre,232,870,20275,"15,6"
2018,Male,18 bis unter 25 Jahre,704,3199,22291,"16,8"
2018,Male,25 bis unter 50 Jahre,2989,12590,24686,"13,8"
2018,Male,50 bis unter 65 Jahre,3229,9093,25693,"15,6"
2018,Male,65 Jahre und mehr,3358,8182,20445,"16,5"
2018,Male,Total,12076,40403,23231,"15,2"
2018,Female,16 bis unter 18 Jahre,241,724,20711,"16,0"
2018,Female,18 bis unter 25 Jahre,685,2952,19768,"24,8"
2018,Female,25 bis unter 50 Jahre,3457,13526,23937,"14,1"
2018,Female,50 bis unter 65 Jahre,3800,9884,23887,"17,1"
2018,Female,65 Jahre und mehr,3466,8588,19282,"19,8"
2018,Female,Total,13183,41204,22081,"16,8"
2018,Total,16 bis unter 18 Jahre,473,1594,20378,"15,8"
2018,Total,18 bis unter 25 Jahre,1389,6151,21220,"20,6"
2018,Total,25 bis unter 50 Jahre,6446,26116,24220,"13,9"
2018,Total,50 bis unter 65 Jahre,7029,18977,24683,"16,4"
2018,Total,65 Jahre und mehr,6824,16771,19809,"18,2"
2018,Total,Total,25259,81607,22713,"16,0"
2019,Male,16 bis unter 18 Jahre,214,859,22330,"14,2"
2019,Male,18 bis unter 25 Jahre,620,2982,23223,"16,4"
2019,Male,25 bis unter 50 Jahre,2778,12611,25739,"12,3"
2019,Male,50 bis unter 65 Jahre,3117,9185,26351,"15,5"
2019,Male,65 Jahre und mehr,3350,8268,21034,"16,0"
2019,Male,Total,11505,40478,24039,"13,9"
2019,Female,16 bis unter 18 Jahre,218,771,21551,/
2019,Female,18 bis unter 25 Jahre,665,3087,21097,"21,2"
2019,Female,25 bis unter 50 Jahre,3197,13508,24711,"12,4"
2019,Female,50 bis unter 65 Jahre,3655,9866,24649,"16,7"
2019,Female,65 Jahre und mehr,3368,8371,19896,"20,0"
2019,Female,Total,12523,41362,22979,"15,7"
2019,Total,16 bis unter 18 Jahre,432,1630,21826,"12,7"
2019,Total,18 bis unter 25 Jahre,1285,6069,22099,"18,8"
2019,Total,25 bis unter 50 Jahre,5975,26119,25188,"12,3"
2019,Total,50 bis unter 65 Jahre,6772,19051,25537,"16,1"
2019,Total,65 Jahre und mehr,6718,16640,20425,"18,0"
2019,Total,Total,24028,81840,23515,"14,8"
